Ref_Motion_Blur_Magnitude,Ref_Motion_Blur_Direction,Current_Motion_Blur_Magnitude,Current_Motion_Blur_Direction,SSIM_u,SSIM_v,SSIM_exx,SSIM_exy,SSIM_eyy,PSNR_u,PSNR_v,PSNR_exx,PSNR_exy,PSNR_eyy
5,0,5,0,0.9946171044796857,0.9997858402324132,0.9997907916508703,0.9999475959932176,0.999958793000541,48.15180184744871,56.29423404810907,60.39210712749994,67.3807919294722,69.30210898048914
5,5,5,5,0.9941312603965666,0.9997652086200213,0.9997530999166848,0.9999421404687456,0.9999519139182745,47.66208272625042,55.68780170793592,59.565968256067904,66.87747163262648,68.25840334266753
5,15,5,15,0.9940359996232473,0.9996908297073851,0.999767902684869,0.9999334471416808,0.9999385627961059,47.406597775532646,54.23046846240563,60.063663979278545,66.2620728987191,67.0638989765238
5,30,5,30,0.9939566382397581,0.9994680391329264,0.9997550825510003,0.9999201942387302,0.9998958124642172,47.20301584881818,51.92345582772064,59.95405966044345,65.47202175872307,64.38577299189888
5,45,5,45,0.9956782571849081,0.9992609302227883,0.9998147021449475,0.9999171127532459,0.9998603362970729,48.57312795509792,50.113463546369815,61.5254331232109,65.22625084830827,63.159786270873624
5,60,5,60,0.9966120109016118,0.9989837840517976,0.9998580431716074,0.9999175324818023,0.999808403096595,49.41783890422856,48.6750376794241,62.0628808255936,64.6734071491118,61.5611927092219
5,75,5,75,0.998316099959059,0.9989587051015063,0.9999265114779637,0.9999298323653244,0.9998062704079966,52.44675419654272,48.63934040597121,64.46452460087501,65.17884772809505,61.30424487975938
5,85,5,85,0.9990912977735281,0.9989539932647176,0.9999510495709477,0.9999401055468488,0.9998024980508815,55.2834837864609,48.50283011266651,66.119872085981,66.00817663671477,60.880115603300354
5,90,5,90,0.999143812900856,0.9989756125943758,0.9999580780962926,0.9999427645099989,0.9997942098362098,55.20828811728173,48.839030931290786,67.22420915433018,66.791609411875,61.08560070498886
10,0,10,0,0.9852856206472209,0.9993847613131109,0.9992827196088324,0.9997987677895723,0.9998782707118974,43.032308938022226,45.04899270566388,55.41665953546313,61.378899183904196,63.95085677866659
10,5,10,5,0.9850267517437743,0.9993186245155241,0.9992006801067363,0.9997964095966729,0.9998628040606716,42.90215582539411,45.1632707545749,55.07276985285583,61.4515510447596,63.26771898687503
10,15,10,15,0.9857558344664348,0.9989350403755323,0.9991510012110248,0.9996643246295233,0.9996708584290902,41.88246693950391,32.42119845373612,46.15957248339462,46.217686270301634,45.92041633693469
10,30,10,30,0.9876752089253845,0.9984977421668022,0.9993358581789028,0.9997681336342936,0.9997037728084891,43.90841612965454,44.34897089030536,55.68076904077242,60.89271370052927,60.05343967702104
10,45,10,45,0.9895540292948591,0.9977550721690206,0.9994881045736379,0.9997629710313163,0.9995786825979037,44.74175546536703,43.70237863047295,56.79246834833969,60.429863967279175,58.72257733773155
10,60,10,60,0.9918742419077047,0.996762536574465,0.9995239885599835,0.9996057920243907,0.9992464087234412,44.05002141366549,32.28202309048839,46.391216962067254,46.167430675137496,45.799576370801056
10,75,10,75,0.9955225093295665,0.9962494427803041,0.9996926220595325,0.9996339328535891,0.9991025649014367,45.23312482224894,32.15804183189547,46.55505000467584,46.16177261186576,45.671001439124396
10,85,10,85,0.9975438618896133,0.9958116194738227,0.9997365761381892,0.9996122041486687,0.999099879894249,46.40372837676636,32.14055875575085,46.60124972805321,46.13892228861238,45.63222598619075
10,90,10,90,0.9973810082859889,0.9958733683972988,0.9995993964384854,0.9994872455903887,0.9989912215711738,45.89001781794083,29.40282389825823,43.66178483504272,43.52270357057769,42.81346471516679
15,0,15,0,0.9756209525889211,0.9990611012102117,0.9985876754361124,0.9996204685292588,0.9997946324296783,40.8847097397196,48.075225955968094,52.34276748146263,58.55485942779781,61.660659179825295
15,5,15,5,0.9746729061403656,0.9989367110678009,0.9985051382277075,0.9996042405637379,0.9997732631815266,40.70065833509793,47.89916840984163,52.11458700631596,58.572463511664914,61.118957171539805
15,15,15,15,0.9741845846136592,0.9982849407610768,0.99841569620361,0.9995559984528635,0.999593833158558,40.342151203310834,46.26709003821819,52.21131451378581,58.145844144850265,58.38345175693155
15,30,15,30,0.9792752458525961,0.997383325321084,0.998726194887409,0.9995797903372493,0.9994687860586614,41.663284617459055,44.92744511655875,52.911106519117006,58.34104470548076,57.455528101181905
15,45,15,45,0.9807317028541646,0.9953540899539158,0.9989207883945578,0.9995199437713104,0.9989799695045681,42.29054917672055,42.34028153792366,53.706567849213094,57.77731488652154,54.83789309864384
15,60,15,60,0.9891644439479965,0.9939945148910359,0.9994359699122132,0.9994964414494185,0.998655075385699,44.28539167172718,40.93319300573199,56.693599139860645,57.10600849031429,53.57684200998352
15,75,15,75,0.9933433682025808,0.9923292921865836,0.9993157719116939,0.999258368483224,0.9979977275506114,43.456460854482835,29.29976336336717,43.509269491185655,43.43980244744927,42.63074085258499
15,85,15,85,0.9963792867072118,0.9921717257874029,0.9994873420623875,0.999241700547562,0.9979139793881137,45.306342892099785,29.204774434091156,43.6203689838894,43.43539625626154,42.461495394823096
15,90,15,90,0.9956633876604455,0.9926279782493566,0.9995318268990423,0.9992464956080415,0.998046917268875,44.753077528583766,29.187237034998464,43.65195295840436,43.420957159280455,42.50331142698356
20,0,20,0,0.9648832632604946,0.9984193214614624,0.9973209380020244,0.9990508403912266,0.9994069277015061,38.15584695622264,29.45620307754561,42.91672969906966,43.357971713020916,42.95448725286612
20,5,20,5,0.9633652056671193,0.9982246923754186,0.9974026171912446,0.9991893464296925,0.999491133405291,38.0564750943764,32.26560776364477,45.14731613351735,45.919085878686744,45.791482187599605
20,15,20,15,0.9608261073276004,0.9964027590563895,0.995739187898816,0.9979994356717723,0.9981561979650228,37.24446481077075,21.867649218987673,36.161453512382934,36.64708890520734,35.933824444439665
20,30,20,30,0.9654225811894528,0.9947928134890253,0.9969063079260986,0.9984269202002033,0.9982668664254556,38.37571842176028,23.98288976667577,38.4182747047172,38.79614672375017,38.091877910204715
20,45,20,45,0.970375882550986,0.9923187702031924,0.998042717037383,0.9989512032488244,0.9982372966432755,39.539776857660655,31.905651618266766,45.42423175106115,45.872087204867896,45.27914807065812
20,60,20,60,0.9822478598796142,0.9892902618488553,0.99884069639848,0.9989172033913916,0.9973484865302135,41.18036861996136,31.42530265311666,45.976017159024885,45.81582833677917,44.870839897585945
